team,rating
UT Arlington Mavericks,1527.5481187944865
Montana State Bobcats,1527.1236560042853
Oregon State Beavers,1526.8624325020637
North Dakota Fighting Hawks,1526.3563890539604
Texas A&M-Corpus Christi Islanders,1525.8545184348995
Quinnipiac Bobcats,1525.7161302084296
Central Connecticut Blue Devils,1525.648747197549
Auburn Tigers,1524.5961023318368
Wofford Terriers,1523.8484055884098
George Washington Revolutionaries,1521.2161059054324
Pacific Tigers,1520.8691780502832
Colorado Buffaloes,1520.8443011542963
UC Santa Barbara Gauchos,1517.616429494884
USC Trojans,1514.5420855237749
Montana Grizzlies,1514.463177005512
Bethune-Cookman Wildcats,1514.4429977305792
San Francisco Dons,1514.3909848600338
Drexel Dragons,1513.2758281993476
Washington Huskies,1512.7272556679866
Southern Illinois Salukis,1512.544490741567
Western Carolina Catamounts,1512.1028035635015
Columbia Lions,1511.5219159107248
Colgate Raiders,1511.4491533600603
Purdue Fort Wayne Mastodons,1511.1748207790242
Baylor Bears,1510.7562240895695
Iona Gaels,1509.2546561976878
Boston University Terriers,1508.6552880980403
Rhode Island Rams,1507.019387782481
Stony Brook Seawolves,1506.8093860572312
Buffalo Bulls,1506.541587738528
Campbell Fighting Camels,1506.3549302664946
Creighton Bluejays,1505.9336269508435
Northwestern Wildcats,1505.2373779934644
Omaha Mavericks,1504.9614528800546
New Mexico State Aggies,1503.2245192501284
Florida A&M Rattlers,1502.843773338323
Providence Friars,1502.4906402441043
Massachusetts Minutemen,1501.817568799473
Ohio Bobcats,1501.7064455981179
Oakland Golden Grizzlies,1500.9207016029363
DePaul Blue Demons,1500.5867279346398
Missouri State Bears,1500.4818213130698
Alabama A&M Bulldogs,1499.6921442523742
Butler Bulldogs,1499.213068312298
Radford Highlanders,1498.8894600099018
Weber State Wildcats,1498.7809622724656
Minnesota Golden Gophers,1498.7019314620186
Mount St. Mary's Mountaineers,1498.2494243789365
Eastern Washington Eagles,1497.1663427498684
UNC Asheville Bulldogs,1496.5928874284225
Charlotte 49ers,1496.3265649343693
South Dakota Coyotes,1496.312771160143
Denver Pioneers,1495.1265463675518
Mercyhurst Lakers,1494.9234567837696
Xavier Musketeers,1494.2011654833846
Georgetown Hoyas,1494.1210279181323
Longwood Lancers,1493.5721194470111
St. Bonaventure Bonnies,1491.2446868486318
New Orleans Privateers,1491.1697724757084
Southern Jaguars,1490.6158573091845
Rutgers Scarlet Knights,1490.3648124897834
Florida International Panthers,1490.1076403557654
Prairie View A&M Panthers,1489.7374966244693
Syracuse Orange,1489.3929473154637
Temple Owls,1488.7329397817055
Morgan State Bears,1486.9511348957765
UNC Greensboro Spartans,1486.8965378320092
Florida Gulf Coast Eagles,1485.461486505125
Jacksonville State Gamecocks,1485.0275031463548
NJIT Highlanders,1484.642278580463
Wagner Seahawks,1484.0600127775601
Norfolk State Spartans,1483.6388161780128
Cal Poly Mustangs,1483.146240363586
Youngstown State Penguins,1481.6542502893938
Charleston Southern Buccaneers,1481.2190648556889
American University Eagles,1480.1354240814603
Portland Pilots,1480.06986457911
Presbyterian Blue Hose,1479.8196730534407
UMass Lowell River Hawks,1479.4610818503386
Pittsburgh Panthers,1479.1417652577145
Loyola Marymount Lions,1476.9788150567297
LSU Tigers,1476.2636977692648
Sacred Heart Pioneers,1475.7616160852187
West Georgia Wolves,1474.0035120817106
Abilene Christian Wildcats,1473.8306625523994
Rice Owls,1473.45725720493
Marquette Golden Eagles,1472.160977676778
Nicholls Colonels,1472.016313601494
Memphis Tigers,1471.7725068873297
New Haven Chargers,1471.3374021588365
Richmond Spiders,1469.7822782921055
Notre Dame Fighting Irish,1469.394620089169
Le Moyne Dolphins,1469.3144390517436
South Dakota State Jackrabbits,1469.0236369843342
Tennessee Tech Golden Eagles,1468.4916136894694
Ole Miss Rebels,1467.9443049447393
Mississippi State Bulldogs,1467.688848988083
Ball State Cardinals,1467.1180977718732
Drake Bulldogs,1466.8813910276199
Texas Southern Tigers,1466.163972614653
Elon Phoenix,1465.3166963060469
Oregon Ducks,1463.9313931300899
South Carolina Gamecocks,1463.2699548987612
Fresno State Bulldogs,1461.7844427028847
Tarleton State Texans,1461.723137154093
Bellarmine Knights,1461.6905594135048
Dartmouth Big Green,1459.3801633571293
Hampton Pirates,1458.1564078654937
Eastern Illinois Panthers,1457.2905848289809
Kansas State Wildcats,1456.8963711684712
Arkansas-Pine Bluff Golden Lions,1456.71302786657
Washington State Cougars,1456.6828195860933
Boston College Eagles,1455.7904338326512
North Carolina Central Eagles,1454.9512268347075
Chattanooga Mocs,1454.6042112694977
Maryland Terrapins,1452.6775492125298
UTEP Miners,1452.2520199570706
East Carolina Pirates,1452.122848179458
Old Dominion Monarchs,1449.7407556942142
Little Rock Trojans,1448.006563384228
South Carolina Upstate Spartans,1447.3207288292883
Milwaukee Panthers,1444.9879556344242
Louisiana Ragin' Cajuns,1444.6499828497726
Houston Christian Huskies,1444.2986479028384
Loyola Maryland Greyhounds,1443.4003957984219
Southern Utah Thunderbirds,1442.0378021660263
Penn State Nittany Lions,1441.58281763164
San Diego Toreros,1441.5212832807213
Jackson State Tigers,1439.9457244015287
Stetson Hatters,1439.4472847020706
Idaho State Bengals,1439.2367306931544
Incarnate Word Cardinals,1438.341726129248
Grambling Tigers,1437.8125715967049
Jacksonville Dolphins,1437.7675134336134
Manhattan Jaspers,1437.4111317607365
The Citadel Bulldogs,1436.5899188016638
Brown Bears,1436.3891386697146
Delaware Blue Hens,1436.135635445486
North Carolina A&T Aggies,1435.8761447940071
Georgia Tech Yellow Jackets,1435.3245163506758
Stonehill Skyhawks,1433.8177319044441
Lafayette Leopards,1433.7716238827481
Central Michigan Chippewas,1433.1193685996204
Loyola Chicago Ramblers,1432.9929963983905
Cleveland State Vikings,1431.0467392912074
Eastern Kentucky Colonels,1430.9740086844013
Long Beach State Beach,1429.8404962794891
Indiana State Sycamores,1429.4508640475194
Princeton Tigers,1429.3352242441297
UAlbany Great Danes,1427.2082108717723
Western Michigan Broncos,1427.0691857771776
Lamar Cardinals,1427.0543515752797
Fairleigh Dickinson Knights,1425.9706262258726
UC Riverside Highlanders,1423.6576999518268
La Salle Explorers,1423.0080592364775
Sacramento State Hornets,1422.6730553225598
Utah Utes,1422.1248444758583
Northwestern State Demons,1421.7294938412258
South Carolina State Bulldogs,1421.2459079258424
Oral Roberts Golden Eagles,1419.639738238956
Georgia State Panthers,1418.7647208480003
Northern Illinois Huskies,1418.7122638019907
East Texas A&M Lions,1418.4369128668563
Eastern Michigan Eagles,1416.3985038805183
Pepperdine Waves,1414.7084625106659
San José State Spartans,1414.4340788924526
Canisius Golden Griffins,1413.6806987910168
SE Louisiana Lions,1412.45697506526
Army Black Knights,1412.0193234098203
Holy Cross Crusaders,1411.6648366530146
Bucknell Bison,1410.504096178556
Northern Arizona Lumberjacks,1407.7455997605966
North Alabama Lions,1404.3840175224664
Niagara Purple Eagles,1402.9905759243597
Alcorn State Braves,1402.6675450124665
New Hampshire Wildcats,1402.1089912551763
Alabama State Hornets,1401.6637426415416
Bryant Bulldogs,1399.7148452943427
Maine Black Bears,1391.7238996114145
Binghamton Bearcats,1391.6663878515844
Maryland Eastern Shore Hawks,1391.4509608530245
Evansville Purple Aces,1391.0403316286481
Delaware State Hornets,1389.1028724412267
Chicago State Cougars,1386.681450247137
Coppin State Eagles,1386.4640974952752
Northeastern Huskies,1383.9894111234028
North Florida Ospreys,1379.969324607549
Cal State Bakersfield Roadrunners,1378.276236622793
Saint Francis Red Flash,1375.053722629928
IU Indianapolis Jaguars,1372.0796396737735
UTSA Roadrunners,1362.2944911002053
Rider Broncs,1354.851617077036
VMI Keydets,1348.9393992074492
Western Illinois Leathernecks,1348.2552235162373
Gardner-Webb Runnin' Bulldogs,1344.7344990467184
UL Monroe Warhawks,1335.796716401333
Kansas City Roos,1334.6702227557719
Air Force Falcons,1329.0702122089933
Mississippi Valley State Delta Devils,1306.2556288534115
